ID,Country,Year,Attack Type,Target Industry,Financial Loss ($M),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Used,Resolution Time (Hr)
CBS-2186,Russia,2022,Ransomware,Retail,44.3,933418,Nation-state,Zero-day,Antivirus,15
CBS-2187,India,2016,Man-in-the-Middle,Telecommunications,42.9,934333,Insider,Unpatched Software,Firewall,60
CBS-2188,Russia,2018,Malware,Telecommunications,65.8,213558,Unknown,Unpatched Software,Antivirus,37
CBS-2189,Russia,2024,DDoS,Telecommunications,41.4,271388,Nation-state,Unpatched Software,Encryption,36
CBS-2190,Brazil,2024,DDoS,Government,88.8,482307,Hacker Group,Zero-day,Firewall,62
CBS-2191,UK,2020,Man-in-the-Middle,Telecommunications,59.3,848419,Insider,Unpatched Software,VPN,27
CBS-2192,Brazil,2019,DDoS,Government,54.7,615305,Insider,Zero-day,Antivirus,6
CBS-2193,UK,2021,DDoS,Telecommunications,57.8,829827,Nation-state,Weak Passwords,Antivirus,48
CBS-2194,China,2022,Man-in-the-Middle,Education,60.6,699194,Nation-state,Social Engineering,Encryption,45
CBS-2195,France,2022,Malware,IT,6.5,82276,Insider,Zero-day,Firewall,26
CBS-2196,Russia,2024,Phishing,IT,47.6,234055,Unknown,Weak Passwords,VPN,64
CBS-2197,India,2019,Phishing,IT,52.5,880546,Nation-state,Zero-day,VPN,39
CBS-2198,China,2020,Phishing,Education,54.8,183678,Insider,Zero-day,AI-based Detection,59
CBS-2199,China,2023,DDoS,Education,42.6,720850,Unknown,Social Engineering,VPN,17
CBS-2200,Germany,2023,Phishing,Banking,39.5,339645,Unknown,Weak Passwords,AI-based Detection,2
CBS-2201,Japan,2017,DDoS,Telecommunications,73.3,368351,Nation-state,Zero-day,Antivirus,48
CBS-2202,Australia,2024,DDoS,Banking,88.8,810930,Insider,Weak Passwords,AI-based Detection,30
CBS-2203,France,2019,DDoS,IT,14.0,966010,Unknown,Weak Passwords,Encryption,20
CBS-2204,Japan,2015,Man-in-the-Middle,Telecommunications,79.9,104759,Hacker Group,Zero-day,AI-based Detection,12
CBS-2205,France,2017,Phishing,Banking,77.4,654122,Nation-state,Social Engineering,AI-based Detection,68
CBS-2206,India,2020,SQL Injection,Telecommunications,87.4,731625,Nation-state,Zero-day,Antivirus,33
CBS-2207,France,2020,Ransomware,Education,47.3,848222,Insider,Unpatched Software,VPN,16
CBS-2208,India,2017,Man-in-the-Middle,Telecommunications,32.4,437554,Insider,Weak Passwords,Firewall,19
CBS-2209,India,2023,Phishing,Retail,53.1,589348,Hacker Group,Social Engineering,Antivirus,4
CBS-2210,Brazil,2024,Ransomware,Retail,69.0,322146,Hacker Group,Social Engineering,Encryption,70
CBS-2211,India,2020,SQL Injection,Government,42.8,432917,Hacker Group,Unpatched Software,AI-based Detection,53
CBS-2212,UK,2022,DDoS,IT,53.9,64163,Unknown,Weak Passwords,AI-based Detection,7
CBS-2213,France,2021,Phishing,Retail,45.7,95873,Unknown,Unpatched Software,Antivirus,50
CBS-2214,Germany,2020,SQL Injection,Healthcare,62.6,205015,Nation-state,Unpatched Software,AI-based Detection,57
CBS-2215,Germany,2020,SQL Injection,Telecommunications,27.5,488501,Nation-state,Social Engineering,Encryption,47
CBS-2216,USA,2020,Ransomware,Retail,16.3,850758,Insider,Unpatched Software,Firewall,9
CBS-2217,Brazil,2019,SQL Injection,Healthcare,67.4,703282,Insider,Weak Passwords,Encryption,2
CBS-2218,Germany,2015,SQL Injection,Government,87.7,1579,Unknown,Unpatched Software,Antivirus,55
CBS-2219,Germany,2023,DDoS,IT,93.7,828721,Insider,Weak Passwords,Encryption,21
CBS-2220,Germany,2017,Malware,Government,67.8,239402,Hacker Group,Zero-day,VPN,17
CBS-2221,Russia,2024,DDoS,Education,54.4,891298,Insider,Social Engineering,AI-based Detection,60
CBS-2222,Australia,2024,Man-in-the-Middle,Education,86.5,915463,Insider,Weak Passwords,Antivirus,2
CBS-2223,India,2018,Malware,Education,99.1,395264,Unknown,Weak Passwords,Antivirus,5
CBS-2224,China,2015,Man-in-the-Middle,Healthcare,66.1,946668,Hacker Group,Unpatched Software,Encryption,67
CBS-2225,USA,2023,Malware,IT,52.5,201017,Insider,Unpatched Software,Encryption,17
CBS-2226,Germany,2022,SQL Injection,IT,48.0,876383,Insider,Zero-day,Encryption,72
CBS-2227,Australia,2022,Ransomware,Government,10.8,564944,Insider,Social Engineering,Antivirus,58
CBS-2228,Russia,2023,Malware,IT,6.4,259573,Nation-state,Zero-day,Firewall,68
CBS-2229,Japan,2020,DDoS,Education,99.8,10859,Nation-state,Social Engineering,AI-based Detection,66
CBS-2230,Russia,2020,DDoS,Government,41.5,496378,Insider,Unpatched Software,AI-based Detection,42
CBS-2231,UK,2019,Man-in-the-Middle,Education,29.9,937987,Hacker Group,Weak Passwords,VPN,45
CBS-2232,India,2023,Ransomware,Education,9.3,182887,Hacker Group,Unpatched Software,Firewall,51
CBS-2233,France,2017,Man-in-the-Middle,Healthcare,34.4,927694,Insider,Social Engineering,VPN,43
CBS-2234,Brazil,2021,Man-in-the-Middle,Banking,81.7,893986,Insider,Unpatched Software,Firewall,47
CBS-2235,USA,2018,Phishing,Retail,36.9,852789,Hacker Group,Social Engineering,VPN,4
CBS-2236,Brazil,2024,Man-in-the-Middle,Healthcare,26.9,695427,Nation-state,Zero-day,Encryption,28
CBS-2237,India,2019,DDoS,Banking,35.3,961173,Insider,Social Engineering,VPN,37
CBS-2238,China,2018,Man-in-the-Middle,Healthcare,11.7,430760,Nation-state,Unpatched Software,Firewall,63
CBS-2239,Germany,2016,Ransomware,Telecommunications,93.9,198764,Insider,Zero-day,Encryption,40
CBS-2240,Brazil,2021,Malware,Banking,34.7,786462,Unknown,Weak Passwords,Firewall,17
CBS-2241,India,2020,Malware,IT,84.4,999542,Hacker Group,Social Engineering,Encryption,15
CBS-2242,Australia,2022,Malware,Government,24.6,221315,Nation-state,Unpatched Software,VPN,53
CBS-2243,Brazil,2018,SQL Injection,Education,52.7,861075,Hacker Group,Social Engineering,Encryption,7
CBS-2244,Japan,2022,Phishing,Telecommunications,33.5,55209,Nation-state,Unpatched Software,VPN,11
CBS-2245,India,2018,Phishing,Education,43.5,76479,Insider,Zero-day,Firewall,4
CBS-2246,Japan,2016,SQL Injection,Telecommunications,37.2,728731,Unknown,Weak Passwords,VPN,72
CBS-2247,Japan,2017,SQL Injection,Education,36.4,161579,Nation-state,Zero-day,Firewall,15
CBS-2248,Germany,2019,SQL Injection,Government,56.5,362642,Unknown,Social Engineering,Encryption,19
CBS-2249,Brazil,2017,DDoS,Education,29.8,913276,Insider,Social Engineering,Encryption,57
CBS-2250,Brazil,2019,Phishing,Government,70.6,817268,Nation-state,Zero-day,VPN,1
CBS-2251,UK,2021,SQL Injection,IT,80.1,682480,Hacker Group,Zero-day,AI-based Detection,14
CBS-2252,USA,2024,DDoS,Telecommunications,15.5,298385,Hacker Group,Unpatched Software,AI-based Detection,11
CBS-2253,China,2020,DDoS,Healthcare,6.3,682445,Nation-state,Social Engineering,Firewall,20
CBS-2254,India,2021,SQL Injection,Government,18.3,78277,Hacker Group,Weak Passwords,Firewall,51
CBS-2255,India,2023,Man-in-the-Middle,IT,90.9,985267,Hacker Group,Unpatched Software,Firewall,48
CBS-2256,Japan,2016,Man-in-the-Middle,Healthcare,2.6,603982,Hacker Group,Social Engineering,Firewall,18
CBS-2257,Japan,2021,DDoS,Banking,74.3,81354,Insider,Weak Passwords,Firewall,6
CBS-2258,France,2021,Phishing,Education,79.0,542754,Insider,Zero-day,VPN,42
CBS-2259,Australia,2020,Phishing,Education,85.8,905386,Hacker Group,Zero-day,Firewall,17
CBS-2260,UK,2021,Phishing,Banking,88.4,281387,Hacker Group,Social Engineering,Firewall,55
CBS-2261,France,2015,Malware,Banking,30.2,205850,Insider,Unpatched Software,Firewall,72
CBS-2262,Germany,2024,Malware,Telecommunications,70.4,998028,Hacker Group,Unpatched Software,Encryption,59
CBS-2263,China,2015,Malware,IT,20.6,780527,Hacker Group,Zero-day,Antivirus,68
CBS-2264,USA,2020,Ransomware,Telecommunications,56.4,667436,Insider,Social Engineering,AI-based Detection,11
CBS-2265,Japan,2022,Ransomware,Retail,71.3,440529,Insider,Weak Passwords,Encryption,20
CBS-2266,China,2023,Man-in-the-Middle,Banking,3.5,194670,Nation-state,Social Engineering,Firewall,29
CBS-2267,USA,2023,DDoS,Banking,53.6,750875,Nation-state,Weak Passwords,Encryption,30
CBS-2268,China,2020,Phishing,Retail,76.0,970373,Unknown,Social Engineering,AI-based Detection,58
CBS-2269,France,2024,Phishing,Retail,45.0,827399,Nation-state,Weak Passwords,AI-based Detection,25
CBS-2270,UK,2018,Man-in-the-Middle,Education,81.0,416149,Insider,Unpatched Software,Antivirus,56
CBS-2271,Germany,2015,Ransomware,IT,51.1,506625,Insider,Weak Passwords,VPN,41
CBS-2272,USA,2018,Phishing,Government,38.8,333027,Hacker Group,Zero-day,VPN,19
CBS-2273,USA,2021,SQL Injection,Telecommunications,89.9,982269,Insider,Unpatched Software,Antivirus,51
CBS-2274,Brazil,2024,Malware,Government,79.0,724903,Unknown,Weak Passwords,Encryption,53
CBS-2275,Russia,2024,DDoS,Education,26.8,156823,Hacker Group,Social Engineering,VPN,1
CBS-2276,China,2017,DDoS,Education,56.7,244753,Insider,Zero-day,VPN,45
CBS-2277,Russia,2022,Malware,Retail,71.2,258554,Unknown,Social Engineering,AI-based Detection,72
CBS-2278,Australia,2020,Ransomware,Telecommunications,97.9,139407,Insider,Unpatched Software,Antivirus,41
CBS-2279,France,2023,Phishing,Education,5.8,206203,Hacker Group,Social Engineering,Encryption,7
CBS-2280,UK,2016,SQL Injection,Government,69.6,55635,Unknown,Weak Passwords,Encryption,13
CBS-2281,Germany,2021,Ransomware,Education,11.4,55683,Hacker Group,Unpatched Software,AI-based Detection,19
CBS-2282,India,2023,Phishing,Banking,87.6,210006,Nation-state,Social Engineering,VPN,27
CBS-2283,Russia,2015,Man-in-the-Middle,Education,98.6,816455,Unknown,Unpatched Software,AI-based Detection,40
CBS-2284,UK,2020,SQL Injection,IT,87.5,53147,Nation-state,Social Engineering,Antivirus,9
CBS-2285,UK,2018,SQL Injection,Telecommunications,81.0,583514,Hacker Group,Zero-day,VPN,54
CBS-2286,UK,2022,Ransomware,Government,85.4,688150,Unknown,Weak Passwords,Firewall,58
CBS-2287,Japan,2023,Phishing,Government,3.5,809443,Insider,Weak Passwords,VPN,59
CBS-2288,Japan,2024,Malware,Government,34.0,78149,Nation-state,Weak Passwords,Encryption,30
CBS-2289,Australia,2018,DDoS,Banking,64.3,113775,Insider,Weak Passwords,AI-based Detection,14
CBS-2290,India,2021,Ransomware,Banking,55.0,798498,Nation-state,Zero-day,VPN,54
CBS-2291,Brazil,2016,Phishing,Education,97.5,267789,Insider,Weak Passwords,Encryption,26
CBS-2292,UK,2023,SQL Injection,Telecommunications,30.2,833840,Insider,Unpatched Software,Antivirus,6
CBS-2293,USA,2018,DDoS,Banking,6.6,646433,Insider,Social Engineering,Firewall,37
CBS-2294,Brazil,2017,Man-in-the-Middle,Government,68.0,403770,Hacker Group,Weak Passwords,Encryption,22
CBS-2295,Germany,2018,SQL Injection,Retail,75.6,814701,Hacker Group,Social Engineering,Antivirus,63
CBS-2296,China,2019,Ransomware,IT,72.3,666683,Hacker Group,Zero-day,Encryption,34
CBS-2297,Germany,2016,DDoS,Banking,44.2,236438,Hacker Group,Weak Passwords,Antivirus,24
CBS-2298,Russia,2020,DDoS,Education,60.9,798113,Insider,Social Engineering,Antivirus,23
CBS-2299,Germany,2021,Malware,Healthcare,23.3,518982,Hacker Group,Weak Passwords,VPN,20
CBS-2300,Germany,2015,DDoS,IT,77.0,252225,Unknown,Unpatched Software,Antivirus,67
CBS-2301,USA,2017,SQL Injection,Government,60.7,5346,Unknown,Zero-day,Antivirus,69
CBS-2302,China,2017,DDoS,Retail,19.4,4814,Unknown,Social Engineering,AI-based Detection,42
CBS-2303,Brazil,2021,SQL Injection,Banking,50.6,772512,Hacker Group,Weak Passwords,Encryption,42
CBS-2304,Australia,2023,Phishing,Education,81.8,16360,Nation-state,Unpatched Software,AI-based Detection,37
CBS-2305,India,2024,Phishing,Telecommunications,38.7,224143,Nation-state,Social Engineering,Antivirus,60
CBS-2306,Russia,2023,SQL Injection,IT,52.4,743325,Insider,Weak Passwords,VPN,9
CBS-2307,France,2019,Phishing,Education,81.5,597542,Unknown,Weak Passwords,VPN,11
CBS-2308,Russia,2024,Malware,Education,55.2,913591,Hacker Group,Zero-day,AI-based Detection,51
CBS-2309,Japan,2023,SQL Injection,IT,8.2,183702,Nation-state,Zero-day,VPN,57
CBS-2310,China,2024,Ransomware,Healthcare,42.3,685837,Insider,Social Engineering,VPN,68
CBS-2311,India,2015,Phishing,Healthcare,28.6,690500,Hacker Group,Weak Passwords,Encryption,11
CBS-2312,India,2016,SQL Injection,Banking,4.3,520308,Insider,Zero-day,VPN,39
CBS-2313,India,2020,Phishing,Education,17.4,84643,Nation-state,Unpatched Software,Antivirus,53
CBS-2314,France,2023,Malware,Healthcare,85.3,762282,Hacker Group,Social Engineering,Firewall,11
CBS-2315,France,2022,Malware,Education,70.5,427144,Unknown,Social Engineering,Firewall,42
CBS-2316,Russia,2018,Man-in-the-Middle,Banking,86.9,800683,Nation-state,Unpatched Software,Firewall,57
CBS-2317,Japan,2024,Man-in-the-Middle,Education,46.4,662101,Insider,Social Engineering,VPN,7
CBS-2318,Australia,2016,Malware,IT,30.7,977343,Hacker Group,Weak Passwords,VPN,47
CBS-2319,India,2021,Ransomware,Education,86.7,534013,Unknown,Unpatched Software,Firewall,49
CBS-2320,China,2024,SQL Injection,Education,18.5,947933,Insider,Social Engineering,Antivirus,10
CBS-2321,Australia,2017,Malware,Retail,9.3,692167,Unknown,Weak Passwords,Encryption,70
CBS-2322,Japan,2023,Malware,IT,23.2,320277,Unknown,Weak Passwords,Encryption,69
CBS-2323,Japan,2017,Ransomware,Retail,49.8,163062,Unknown,Unpatched Software,AI-based Detection,43
CBS-2324,Australia,2017,Malware,Banking,25.8,801821,Unknown,Weak Passwords,AI-based Detection,18
CBS-2325,China,2016,Ransomware,Government,72.3,860664,Unknown,Zero-day,Firewall,10
CBS-2326,Japan,2018,Man-in-the-Middle,Education,20.9,511823,Insider,Zero-day,AI-based Detection,43
CBS-2327,Germany,2024,Man-in-the-Middle,IT,93.1,952299,Unknown,Weak Passwords,VPN,33
CBS-2328,India,2018,Phishing,Education,5.3,982450,Unknown,Weak Passwords,Firewall,32
CBS-2329,Australia,2024,DDoS,Retail,28.2,411083,Unknown,Weak Passwords,Firewall,30
CBS-2330,USA,2019,Man-in-the-Middle,Government,17.6,43140,Insider,Social Engineering,AI-based Detection,28
CBS-2331,UK,2018,Malware,Education,51.6,935465,Nation-state,Weak Passwords,AI-based Detection,28
CBS-2332,Germany,2018,DDoS,Banking,81.3,52799,Insider,Zero-day,AI-based Detection,38
CBS-2333,China,2020,SQL Injection,Telecommunications,70.0,688312,Nation-state,Unpatched Software,VPN,48
CBS-2334,France,2024,Phishing,Government,5.2,219162,Hacker Group,Unpatched Software,Encryption,23
CBS-2335,UK,2017,Man-in-the-Middle,Telecommunications,60.0,740448,Hacker Group,Weak Passwords,Encryption,26
CBS-2336,France,2016,Ransomware,Banking,62.7,596776,Nation-state,Zero-day,Firewall,17
CBS-2337,Australia,2022,SQL Injection,Telecommunications,56.2,571454,Insider,Weak Passwords,VPN,42
CBS-2338,Russia,2020,DDoS,Government,72.6,787260,Insider,Weak Passwords,Firewall,15
CBS-2339,UK,2018,Malware,Healthcare,19.8,805745,Insider,Weak Passwords,Firewall,7
CBS-2340,Russia,2020,SQL Injection,Telecommunications,35.0,377194,Unknown,Weak Passwords,Firewall,50
CBS-2341,China,2023,Malware,Education,37.1,417554,Insider,Unpatched Software,Antivirus,35
CBS-2342,China,2019,SQL Injection,Government,65.9,252025,Hacker Group,Zero-day,Encryption,60
CBS-2343,India,2015,Ransomware,Education,96.0,898251,Hacker Group,Weak Passwords,Antivirus,70
CBS-2344,Brazil,2015,Man-in-the-Middle,Banking,74.3,551388,Unknown,Unpatched Software,Encryption,51
CBS-2345,India,2017,DDoS,Banking,46.0,538245,Hacker Group,Weak Passwords,AI-based Detection,18
CBS-2346,India,2021,Malware,Telecommunications,51.0,838461,Nation-state,Zero-day,AI-based Detection,6
CBS-2347,Brazil,2020,SQL Injection,Banking,68.1,912770,Unknown,Zero-day,AI-based Detection,67
CBS-2348,India,2021,DDoS,Education,96.0,62194,Nation-state,Zero-day,AI-based Detection,12
CBS-2349,UK,2023,Man-in-the-Middle,Banking,15.0,416522,Insider,Social Engineering,VPN,63
CBS-2350,UK,2021,DDoS,IT,70.5,530341,Insider,Social Engineering,VPN,40
CBS-2351,Japan,2022,Ransomware,IT,73.1,346939,Insider,Weak Passwords,VPN,21
CBS-2352,Russia,2021,Phishing,Banking,78.5,56333,Unknown,Social Engineering,VPN,8
CBS-2353,Germany,2018,Ransomware,IT,27.5,644913,Unknown,Weak Passwords,VPN,32
CBS-2354,Japan,2017,SQL Injection,Banking,18.0,295917,Unknown,Weak Passwords,VPN,57
CBS-2355,India,2020,Malware,Healthcare,20.6,54206,Insider,Unpatched Software,VPN,51
CBS-2356,India,2018,DDoS,Telecommunications,47.5,423071,Unknown,Unpatched Software,Antivirus,69
CBS-2357,Australia,2021,Man-in-the-Middle,Healthcare,17.6,687020,Unknown,Weak Passwords,Antivirus,48
CBS-2358,USA,2020,Ransomware,Education,77.1,550317,Insider,Weak Passwords,Encryption,63
CBS-2359,Germany,2021,Phishing,Banking,48.0,170032,Nation-state,Social Engineering,Encryption,24
CBS-2360,China,2020,SQL Injection,Healthcare,11.6,388591,Unknown,Zero-day,Antivirus,68
CBS-2361,India,2023,DDoS,Healthcare,2.3,438318,Hacker Group,Unpatched Software,AI-based Detection,39
CBS-2362,India,2018,DDoS,Education,1.7,63389,Insider,Unpatched Software,VPN,20
CBS-2363,USA,2015,Man-in-the-Middle,Retail,95.7,377602,Nation-state,Zero-day,Firewall,15
CBS-2364,France,2021,SQL Injection,Government,42.8,467551,Unknown,Unpatched Software,Encryption,61
CBS-2365,UK,2022,Malware,Telecommunications,38.8,361529,Nation-state,Social Engineering,Firewall,67
CBS-2366,Australia,2019,Man-in-the-Middle,Retail,15.2,677755,Hacker Group,Social Engineering,Firewall,52
CBS-2367,UK,2022,Man-in-the-Middle,IT,66.3,303838,Nation-state,Zero-day,AI-based Detection,56
CBS-2368,India,2016,Ransomware,Banking,93.7,339815,Insider,Weak Passwords,Firewall,58
CBS-2369,Russia,2020,Ransomware,Banking,13.7,820140,Insider,Social Engineering,VPN,63
CBS-2370,Russia,2015,Ransomware,IT,49.3,879875,Insider,Zero-day,Encryption,61
CBS-2371,Brazil,2022,Man-in-the-Middle,Healthcare,40.9,987320,Unknown,Zero-day,AI-based Detection,44
CBS-2372,Japan,2023,SQL Injection,Government,13.5,772948,Unknown,Zero-day,VPN,43
CBS-2373,Brazil,2015,Phishing,Healthcare,84.8,794914,Insider,Social Engineering,Firewall,34
CBS-2374,Brazil,2019,DDoS,Telecommunications,37.0,198563,Hacker Group,Social Engineering,Firewall,24
CBS-2375,Germany,2022,DDoS,Retail,21.5,32346,Nation-state,Unpatched Software,AI-based Detection,38
CBS-2376,China,2015,Phishing,Banking,18.4,541829,Nation-state,Zero-day,Antivirus,33
CBS-2377,Russia,2024,Phishing,Telecommunications,21.2,446028,Hacker Group,Weak Passwords,VPN,37
CBS-2378,France,2022,Malware,Education,13.1,759625,Insider,Social Engineering,Encryption,14
CBS-2379,Brazil,2017,Phishing,Retail,3.2,520654,Nation-state,Social Engineering,VPN,53
CBS-2380,USA,2023,DDoS,IT,99.6,248383,Insider,Social Engineering,Firewall,55
CBS-2381,China,2017,Man-in-the-Middle,Banking,62.4,855974,Unknown,Social Engineering,VPN,44
CBS-2382,China,2020,Malware,Government,84.2,50842,Insider,Zero-day,AI-based Detection,59
CBS-2383,Germany,2015,Man-in-the-Middle,Education,81.5,697275,Nation-state,Weak Passwords,Encryption,59
CBS-2384,Germany,2022,Man-in-the-Middle,Telecommunications,0.5,419912,Nation-state,Zero-day,AI-based Detection,40
CBS-2385,Japan,2023,Man-in-the-Middle,Banking,65.8,193620,Nation-state,Zero-day,VPN,67
CBS-2386,China,2024,SQL Injection,Banking,58.3,777684,Unknown,Zero-day,VPN,31
CBS-2387,UK,2018,Malware,Healthcare,27.6,375245,Hacker Group,Social Engineering,Firewall,20
CBS-2388,China,2023,Man-in-the-Middle,IT,23.0,656090,Insider,Unpatched Software,Encryption,27
CBS-2389,Australia,2016,Man-in-the-Middle,IT,80.3,653967,Unknown,Unpatched Software,Encryption,21
CBS-2390,India,2022,SQL Injection,Education,0.8,977791,Unknown,Weak Passwords,Antivirus,15
CBS-2391,UK,2023,DDoS,Telecommunications,81.9,397687,Hacker Group,Social Engineering,VPN,65
CBS-2392,France,2017,Malware,Banking,40.9,719537,Nation-state,Zero-day,AI-based Detection,23
CBS-2393,Brazil,2017,DDoS,Telecommunications,34.8,724790,Hacker Group,Unpatched Software,Firewall,64
CBS-2394,France,2016,Phishing,IT,33.3,51723,Hacker Group,Weak Passwords,Encryption,23
CBS-2395,India,2023,Ransomware,Healthcare,18.3,312340,Nation-state,Zero-day,VPN,35
CBS-2396,India,2016,Man-in-the-Middle,Banking,15.3,995025,Unknown,Weak Passwords,AI-based Detection,52
CBS-2397,France,2024,SQL Injection,Telecommunications,48.8,336356,Hacker Group,Unpatched Software,Encryption,2
CBS-2398,France,2017,Ransomware,Retail,48.9,886212,Unknown,Weak Passwords,Encryption,67
CBS-2399,Japan,2016,Ransomware,Healthcare,37.2,209358,Nation-state,Social Engineering,Firewall,25
CBS-2400,Russia,2022,DDoS,Education,69.2,495616,Nation-state,Unpatched Software,Antivirus,38
CBS-2401,China,2021,SQL Injection,Government,55.6,224311,Insider,Zero-day,Firewall,57
CBS-2402,Japan,2022,DDoS,IT,52.0,65516,Insider,Weak Passwords,Firewall,37
CBS-2403,Germany,2024,Ransomware,Government,40.4,301972,Unknown,Weak Passwords,VPN,33
CBS-2404,Germany,2015,Phishing,Telecommunications,47.0,124250,Insider,Zero-day,AI-based Detection,64
CBS-2405,USA,2018,Man-in-the-Middle,Healthcare,22.6,733934,Nation-state,Zero-day,Firewall,31
CBS-2406,Brazil,2022,Malware,IT,19.3,377446,Unknown,Zero-day,AI-based Detection,12
CBS-2407,China,2021,SQL Injection,IT,98.6,430792,Insider,Weak Passwords,Antivirus,9
CBS-2408,UK,2015,Malware,IT,96.8,825881,Unknown,Zero-day,AI-based Detection,35
CBS-2409,USA,2020,Malware,Telecommunications,27.2,858207,Nation-state,Unpatched Software,AI-based Detection,42
CBS-2410,Germany,2021,Ransomware,Healthcare,16.6,912847,Unknown,Weak Passwords,Antivirus,27
CBS-2411,UK,2018,Malware,Banking,41.3,82287,Unknown,Unpatched Software,Encryption,61
CBS-2412,USA,2020,Man-in-the-Middle,Education,44.9,527938,Nation-state,Zero-day,Encryption,1
CBS-2413,UK,2022,DDoS,Telecommunications,50.9,645154,Insider,Weak Passwords,AI-based Detection,16
CBS-2414,India,2018,Ransomware,Retail,26.0,732636,Hacker Group,Zero-day,VPN,3
CBS-2415,Russia,2015,DDoS,Retail,69.6,26321,Nation-state,Zero-day,Encryption,11
CBS-2416,Germany,2023,Ransomware,Banking,52.9,982507,Unknown,Unpatched Software,Encryption,39
CBS-2417,Russia,2019,Malware,Retail,11.6,367712,Nation-state,Weak Passwords,Firewall,13
CBS-2418,Russia,2015,DDoS,Telecommunications,83.3,236346,Insider,Unpatched Software,AI-based Detection,55
CBS-2419,Australia,2018,SQL Injection,Retail,51.5,287089,Nation-state,Weak Passwords,Encryption,8
CBS-2420,Brazil,2024,Malware,Healthcare,50.7,964191,Unknown,Weak Passwords,VPN,36
CBS-2421,China,2016,SQL Injection,Healthcare,52.7,55913,Nation-state,Social Engineering,Antivirus,70
CBS-2422,Japan,2015,Phishing,Government,98.3,850600,Insider,Zero-day,Encryption,17
CBS-2423,France,2024,Phishing,Retail,45.6,201137,Hacker Group,Zero-day,Antivirus,25
CBS-2424,Germany,2017,Malware,Healthcare,1.7,859708,Nation-state,Weak Passwords,Encryption,10
CBS-2425,Russia,2016,Phishing,Government,2.7,863777,Insider,Zero-day,Antivirus,20
CBS-2426,Japan,2024,SQL Injection,Banking,67.4,521384,Unknown,Social Engineering,Antivirus,32
CBS-2427,Russia,2022,SQL Injection,Government,69.1,474183,Insider,Weak Passwords,Antivirus,27
CBS-2428,Brazil,2018,SQL Injection,Retail,36.6,829742,Insider,Unpatched Software,Firewall,57
CBS-2429,USA,2021,DDoS,Telecommunications,99.8,460842,Unknown,Weak Passwords,AI-based Detection,59
CBS-2430,Australia,2022,Malware,Retail,47.3,839881,Unknown,Zero-day,Firewall,51
CBS-2431,Brazil,2017,DDoS,IT,72.5,860625,Unknown,Zero-day,Firewall,4
CBS-2432,UK,2019,SQL Injection,Healthcare,65.5,263110,Insider,Social Engineering,Firewall,6
CBS-2433,Japan,2020,Man-in-the-Middle,IT,13.6,506364,Nation-state,Social Engineering,Firewall,66
CBS-2434,USA,2021,Phishing,Education,6.0,176772,Insider,Unpatched Software,Firewall,6
CBS-2435,Brazil,2021,SQL Injection,Retail,1.3,564277,Nation-state,Weak Passwords,Firewall,1
CBS-2436,Australia,2017,Man-in-the-Middle,Retail,48.0,36780,Insider,Unpatched Software,AI-based Detection,64
CBS-2437,Germany,2021,Ransomware,Retail,46.8,589744,Nation-state,Weak Passwords,VPN,32
CBS-2438,Russia,2018,Malware,Government,59.0,309230,Hacker Group,Social Engineering,Encryption,61
CBS-2439,China,2024,Man-in-the-Middle,Telecommunications,53.6,4913,Hacker Group,Weak Passwords,AI-based Detection,61
CBS-2440,Brazil,2020,SQL Injection,Education,50.4,350295,Insider,Unpatched Software,Encryption,5
CBS-2441,USA,2020,DDoS,Banking,60.2,998937,Nation-state,Zero-day,Antivirus,19
CBS-2442,Brazil,2018,Malware,Telecommunications,96.2,445546,Nation-state,Weak Passwords,Firewall,45
CBS-2443,Brazil,2023,SQL Injection,Healthcare,7.3,486146,Insider,Zero-day,Firewall,12
CBS-2444,UK,2016,Phishing,Education,29.5,466333,Hacker Group,Zero-day,Firewall,51
CBS-2445,Japan,2019,Phishing,Government,73.4,706019,Nation-state,Zero-day,Encryption,65
CBS-2446,UK,2020,DDoS,Retail,70.0,971464,Nation-state,Weak Passwords,Firewall,4
CBS-2447,India,2015,Man-in-the-Middle,IT,77.0,224983,Nation-state,Weak Passwords,AI-based Detection,42
CBS-2448,Brazil,2019,Ransomware,Telecommunications,87.4,919425,Nation-state,Unpatched Software,Encryption,45
CBS-2449,Russia,2023,DDoS,Telecommunications,57.3,115138,Unknown,Unpatched Software,Encryption,42
CBS-2450,Japan,2020,Phishing,IT,99.6,786468,Nation-state,Social Engineering,AI-based Detection,42
CBS-2451,India,2023,Phishing,Retail,5.1,620560,Hacker Group,Weak Passwords,Antivirus,59
CBS-2452,USA,2017,Malware,Government,56.7,976007,Insider,Social Engineering,Encryption,59
CBS-2453,France,2016,DDoS,Education,46.6,361163,Hacker Group,Zero-day,Firewall,38
CBS-2454,Brazil,2017,Ransomware,Healthcare,54.8,469735,Nation-state,Zero-day,Encryption,57
CBS-2455,USA,2015,Man-in-the-Middle,IT,46.3,117231,Unknown,Unpatched Software,AI-based Detection,28
CBS-2456,Germany,2018,Ransomware,Healthcare,14.4,276925,Unknown,Unpatched Software,VPN,54
CBS-2457,Australia,2019,Malware,Telecommunications,37.3,208089,Unknown,Zero-day,Antivirus,33
